City,data,FIPS,Lat,Long,State,Zip
Pierre,76,46065,44.3683156,-100.3509665,SD,57501
,,,,,,
Pine Ridge,1,46113,43.0255408,-102.5562743,SD,57770
,,,,,,
Plankinton,10,46003,43.715546,-98.4850855,SD,57368
,,,,,,
Platte,15,46023,43.3869397,-98.8445303,SD,57369
,,,,,,
Pollock,1,46021,45.9013832,-100.2884568,SD,57648
,,,,,,
Prairie City,5,46105,45.5297132,-102.8043291,SD,57649
,,,,,,
Presho,3,46085,43.9097116,-100.0587343,SD,57568
,,,,,,
Pringle,2,46033,43.6085921,-103.5938058,SD,57773
,,,,,,
Pukwana,1,46015,43.7780522,-99.1814852,SD,57370
,,,,,,
Ramona,2,46079,44.1194174,-97.2164532,SD,57054
,,,,,,
Rapid City,322,46103,44.0805434,-103.2310149,SD,57709
,,,,,,
Raymond,3,46025,44.9124666,-97.938978,SD,57258
,,,,,,
Redfield,12,46115,44.8758095,-98.5187062,SD,57469
,,,,,,
Ree Heights,2,46059,44.5185938,-99.2001057,SD,57371
,,,,,,
Renner,4,46099,43.6455302,-96.7283838,SD,57055
,,,,,,
Revillo,12,46051,45.0166314,-96.5711679,SD,57259
,,,,,,
Roscoe,3,46045,45.4485879,-99.3387279,SD,57471
,,,,,,
Rosholt,1,46109,45.8666263,-96.731463,SD,57260
,,,,,,
Roslyn,1,46037,45.4952333,-97.4909258,SD,57261
,,,,,,
Rutland,5,46079,44.089416,-96.9672804,SD,57057
,,,,,,
Saint Onge,3,46081,44.5466507,-103.7210308,SD,57779
,,,,,,
Salem,12,46087,43.7241455,-97.388953,SD,57058
,,,,,,
San Diego,1,6073,32.7153292,-117.1572551,CA,92199
,,,,,,
Scenic,2,46103,43.779714,-102.5548958,SD,57780
,,,,,,
Scotland,13,46009,43.1497151,-97.7175669,SD,57059
,,,,,,
Selby,3,46129,45.5063788,-100.0320657,SD,57472
,,,,,,
Seneca,1,46049,45.0616446,-99.5120591,SD,57473
,,,,,,
Shadehill,1,46105,45.7655514,-102.1793214,SD,57638
,,,,,,
Sherman,12,46099,43.7591386,-96.4761531,SD,57030
,,,,,,
Silver City,4,46103,44.0844303,-103.563803,SD,57702
,,,,,,
Sioux Center,2,19167,43.0797067,-96.1755774,IA,51250
,,,,,,
Sioux City,8,19193,42.4999942,-96.4003069,IA,51111
,,,,,,
Sioux Falls,891,46099,43.5499749,-96.700327,SD,57198
,,,,,,
Sisseton,9,46109,45.6646815,-97.0498046,SD,57262
,,,,,,
South Shore,12,46029,45.1057975,-96.9286818,SD,57263
,,,,,,
Spearfish,75,46081,44.4908172,-103.8593698,SD,57799
,,,,,,
Spencer,4,19041,43.1413578,-95.1444393,IA,51301
,,,,,,
Spencer,3,46087,43.7274793,-97.5931238,SD,57374
,,,,,,
Springfield,3,46009,42.8541658,-97.8972907,SD,57062
,,,,,,
St Lawrence,2,46059,44.52991, -98.89111,SD,57373
,,,,,,
Stickney,6,46003,43.5891563,-98.4373047,SD,57375
,,,,,,
Stockholm,1,46051,45.0996868,-96.8020104,SD,57264
,,,,,,
Sturgis,45,46093,44.4097069,-103.5090786,SD,57785
,,,,,,
Summerset,9,46093,44.189978,-103.34384,SD,57769
,,,,,,
Summit,11,46109,45.3044063,-97.0364661,SD,57266
,,,,,,
